Content,Date
"First let me begin by saying I’m writing this in a fit of Rage. I’ve been using Netflix through various different accounts for years, always through family members. I’ve seen countless movies and shows and they’ve been worth the $10-16 a month- up until this past year, the disappointment, disgust, anger, confusion- a company so large so vast- THE COMPANY TO SHUT DOWN BLOCKBUSTER? A shame a true shame I tell you now. I can say that the sadness I felt the first time I saw that “member of household” butt crap, was unmatched. I am revolted, I’ve dedicated so much of my life to the good deed of doing right unto others for that is what Jesus would do and this is the thanks I get? Selfishness from those who hold such power? This is abuse, this is an atrocious act against humanity, community, friendship and family across the globe. I can only imagine what kind of vileness and hatred went towards this cowardly and cheapskate act against the good of the people. I just hope that one day you can look back and tell yourself that in the end you did the right thing, the right thing for your countless and I mean COUNTLESS customers, we’re more than customers we’re families we’re acquaintances, we’re coworkers, we’re exes. we are more than subscriptions, we’re a community and your the ones holding us together, you built this site from the ground up with joy laughter and entertainment for all through many years, don’t tear it down in one with greed.

Sincerely, Sarah",2023-01-07
Please for the love of god do not remove all the fast and furious movies I’m begging you if you remove them me and you are gonna have a big problem so please do not remove them al watch all of them like every week I just don’t want my favorite movies to get remove you keep removing all the good movies and that is upsetting me too much Netflix al give you a 5 star ratting if you don’t remove the movies and al ask the rest of my family to give you a 5 star only if you don’t remove the fast and furious movies please Netflix don’t make a persons sad because your making terrible decisions with removing all the good movies I’m begging you Netflix make good choices and don’t remove those movies I already let you slide with other shows you had remove before but fast and furious?! Nu uh this is getting out of hand Netflix please don’t remove the movies we can make a deal if you don’t remove the movies al give you a 5 star and al ask my family to give you guys a 5 star too and to be honest that’s a equal equal deal for now I’m putting a 2 star but if you don’t remove them al give you 5 star Netflix thank you for reading this I hope you have a wonderful day.,2023-01-06
"Netflix has a year to win me back.

I was an early subscriber to Netflix streaming, and went for years with little to no service cancellations. I loved it.

Then I had to let it go for a couple months, back in 2022. For financial reasons.

Well, someone hacked my account, changed the language, added 10 other accounts, resumed &amp; Upgraded my service…

 and Netflix blamed me.

Seriously they only offered THE DIFFERENCE in what I normally pay, not a full refund. Even though I was CLEARLY hacked &amp; had OBVIOUSLY ended my account a couple months back. When I said not to pay the differences my bank could handle it, they refunded that small amount anyway, and then tried to do a full refund after my bank put in a FRAUD CLAIM.

Like. The app is fine. Im mildy interested in the game library that didn’t exist last time I had the service. They are the trailblazers of streaming, and the app still reflects that.

The quality is there. But don’t fall in love with their shows cuz they might get cancelled, and watch your bank account for charges you didn’t authorize.",2023-01-05
"This streaming platform had already started to lose a lot of quality shows and fill up with very low quality, low rated movies and TV shows. The streaming platform began relying on a few shows like Stranger Things to hold it together (especially after certain shows like breaking bad ended or the walking dead which kind of fell off). The household feature, however, is the reason I’m leaving this review. I am a college student living several hours away from my family and it doesn’t take this into account. It would rather force me or my family to pay double for this platform which already went up in price to 16 dollars. I’ve seen you can add another person for 8 dollars but it isn’t worth spending over 20 dollars a month when there’s plenty of other platforms that allow both my family and I to stream shows. The least they could have done was limited log ins to a certain number of devices. Honestly it was greedy of them and I can’t help but think it was an act of desperation due to other streaming platforms offering better content.",2023-01-08
"I don’t want to sound entitled or anything you know I love netflix, however the pricing netflix offers now is truly absurd for what little shows and movies we get. i understand that other services take the rights to certain films and series so they have no choice but the pricing is ridiculous majority of peoples favorite shows are gone or are yet to leave soon anyway why not lower pricing.

Also I do have one request will netflix ever offer custom profiles been wanting it from quite sometime since hbo does it. since perhaps you’re going to charge people an arm or leg for this app and for “cheaper” pricing you lock half of the films and give ads. and the fact that people get charged for sharing passwords is just.. whew

least you can do is offer some new features or something yk atleast with other services they offer discounts and addons you’ll get that for way cheaper than netflix offers.

But bless you all in the future!💗",2023-01-07
"This app is really good I really enjoy being able to watch my favorite Netflix shows no matter where I am. How ever I have not been able to find some of my favorite shows that I just took a little break from and so far I’m going towards the conclusion that they took it off Netflix, so pls stop taking shows off of Netflix because some of the shows don’t have the full episodes on YouTube and then some of the shows are in apps that I don’t have or have to pay for. If you do travel a lot though or even if you just want to watch Netflix a lot like me then this is a great app for you. Also sometimes the app glitches and just closes all of the sudden in the middle of me watching Ching my show or something and it has done that a few times and it’s really annoying when it just keeps doing it.",2023-01-07
"Hi
I have been on Netflix for a long time, I have seen many updates go by and let me just say, All these updates are bad. I just want to watch Netflix on the go but I cannot because we can’t download anything anymore which makes Netflix worthless. And the worse part is there are starting to be adds now. Before all these modern updates Netflix used to be great now we can’t download anything and there are adds even though paying for even one subscription is expensive and we don’t even get the luxuries we used to have. This is why Netflix isn’t doing as good anymore I know at least half my friends stopped using Netflix just because of this reason and now I am writing because it is an Inconvenience for me now please try and fix this problem make Netflix better again.",2023-01-05
"First off, the app is just fine. Usability has become better throughout the years. I like the home page being the new &amp; hot section, it gets my eyes on what’s new. I love the “loved this” ranking.
I love the variety of shows put out. BUT…
STOP CANCELING SHOWS!!! Seriously, each new show I watch, I google for the second season and it’s, yet, another show that’s been cancelled!! THIS IS SO FRUSTRATING!!
Or at least add a section to filter by more than one season.

—Here’s just something to think about— most of us are finishing up our binge watching of one show before moving on to another show. Maybe consider giving it more time before canceling it. It’s going to cause me to cancel my subscription, my friends have all said the same thing too.",2023-01-06
"I have had Netflix since it was DVDs in the mail. Once they implemented their password sharing policy, they told me how to get around it for my lake home using the traveling feature. It has been nothing but an absolute nightmare! They tell you to log into your Netflix at home watch some thing and then log into your second home and watch some thing and then magically you should be able to watch it at your second home. That is absolutely not the case, no matter what you do, no matter how many hours you spend on Netflix Support, all it will allow you to do is change the household to your second home, which will block Netflix at your main home or you can pay $7.99 to add an additional user. At this point Netflix does not deserve my business anymore.",2023-01-07
"You do know there’s households who are co parenting and use different wifi’s now we aren’t able to use the service do to this change. Thank you Netflix for making it impossible for my kids to not enjoy their shows. What were you expecting when you guys made this move? Please make an option so my kids don’t lose out. It’s bad enough we are a split household, don’t take this away from them. Your prices went up then this. This isn’t workable. You would think you guys would be a little mindful when you did this. But in all honesty it will cost you in the end. In case you haven’t already read the comments your subscribers wrote you. Please make this work.
I wish I could give you a positive review. But this doesn’t even deserve a star. Nice let down.",2023-01-08
"There is a bug on Netflix app on the Roku TV, TCL can you please put a software update for Netflix app and always put a software update for the Netflix app on the Roku TV. Every time you put a software update on iPhone that use the Roku TV when I watch Netflix and this is the only place that can report it because there’s no option to report it on the Roku TV every time you put a software update for. The iPhone you always put a software update for Netflix for the Roku TV. TCL. Sometimes when I’m on Netflix, sometimes it kicks me on the app and go to home screen there is a bug on the Netflix app needs to be fixed. On the Roku TV. Please fix it so that the Netflix app will always function properly and work properly on the Roku TV 100%.",2023-01-05
"Ever since I updated to TVOS 17 on my 4 gen appleTV pause does not work correctly in Netflix. This glitch does not happen in any other app, only Netflix. I have tried updating Netflix to no avail. This issue is more than a week old.

When I press pause the audio mutes but playback continues. If I press menu to leave the show it doesn’t remember my watch history so when I restart the show or film it goes back to the beginning. Jogging doesn’t work to fast forward either, so the only thing that works is using the 10 second jump to either go forwards through the show to where I left off, or let let the muted playback go and use the 10 second skip to go back to where I intended to pause.",2023-01-08
You guys are ready to loose us… we’ve been loyal customers since you sent video cassettes in the mail. There are plenty other ways to get shows. We have not abused your service yet I can’t sign in while caring for my brother at my parents house. My husband is out watching the game and can’t get the emailed code or whatever. I have our account on my phone but it won’t go on the tv here. It’s just me and my husband but sometimes I have to be in a different place because of disabled family members requiring my presence. My husband likes the other entertainment apps better but I told him I liked Netflix but we have to trim down our subscriptions… guess who’s on the chopping block!,2023-01-03
"I am a college student that literally lives 40 minutes away from “my household”, yet Netflix still seems it pertinent that I pay for my own separate account even though my parents pay for the separate screens plan. This is ridiculous and if I can’t find a way around it we will be deleting our membership. You complain that your business is losing money from sharing passwords yet a quick Google search will reveal that y’all made $32.12 Billion for the last 12 months, a 3.56% increase from the previous year. It shouldn’t even be considered “sharing a password” when it’s with your own family. Stop the dramatics about net revenue and get rid of this new “feature”!",2023-01-01
"Okay so me and my mother have had Netflix since I was in I believe 4th grade ,but now it’s starting to get really outrageous because first we had a reasonable price for only a  2 screen plan then had to have only one screen plan ,and now the plan we had was unnecessarily cancelled because I believe people are starting to stop watching regular tv I think &amp; now prices are going up not cool I mean I understand why stuff has to be paid for ,but what I don’t understand is why some have to be so expensive anyway what I’m getting at is that I really hate how Netflix is having these unnecessary changes when some things are perfect just the way they are",2023-01-05
"We no longer have a family account due to the password sharing rules. The extra cost to allow other people to use the account would strain our already limited finances. I also learned the hard way that we now can only have ONE PERSON watching a show at a time, even though we’re in the same household. I was trying to watch a show with my long distance friend and I couldn’t because of this. Also, not only do they keep canceling good shows, but they keep removing my favorites. If I was in charge of the subscription  I would’ve already cancelled it, this isn’t worth it anymore. And during a time where everyone is struggling financially? Greedy.",2023-01-05
"Unfortunately the latest update renders a very unfriendly glitch that causes the selected movie or series to immediately stream without ever having pressed the play button. Especially problematic when trying to read the synopsis or scroll down to view see the trailer. Contacted Netflix and was informed that the glitch is intentional on all smart tv’s as part of the experience. Brilliant! Congratulations Netflix, you’ve devolved into a mediocre app offering a crappy viewing experience for watching content that is becoming increasingly less than satisfactory. Way to attract and retain viewership!",2023-01-07
"If I could give 0 stars I would. My family has used Netflix for over 7 years but recently with their “password sharing” rules it is no longer worth the money in my opinion. You pay almost $16/month for mediocre shows and movies and if you are a college student living away from home, you’re considered no longer a part of the house hold and required to pay $7.99/month on top of the standard cost just to be able to watch it on your tv. The only reason I’d watch is for the 2 actually good tv shows they put out once a year. Save your money and use other platforms that are more worth it.",2023-01-07
"Stop trying to make more money this way. I have been using the same tv, WiFi, and house for over 5 years and randomly this update will tell me that my tv isn’t a part of my household. First of all, yes it is and it has been for forever, second of all, so what if it isn’t?? Why can’t we share accounts? Just because Netflix wants more money doesn’t mean your users should have to suffer. This is by far the dumbest update from Netflix and should be discontinued or at least be more effective to the tvs who actually aren’t in my household not messing up the ones that are.",2023-01-05
"My sister and I are living at two different colleges, and our parents are divorced so we have 2 homes. A family of 4 now has to spend $52 a month to each watch Netflix. FIFTY TWO DOLLARS A MONTH ARE YOU FOR REAL???? You’ll be lucky if you have a company at all in 10 years time you moronic piece of capitalism trash. Price breakdown: Premium account allows 2 additional members that’s 3 people for $36, and 1 more standard account is $16 = $52 for 4 people). Netflix Managment I wish each of you nothing but pain, hardship, and misery for years to come. - Love, Sydney",2023-01-07
"The good movies/series are getting removed. Like Fast &amp; Furious ( Tokyo Drift ) and Fast &amp; Furious. It’s okay to remove some shows but you guys need to stop removing the classics and the good ones. When someone watches it people are gonna get hooked too and would wanna watch it for themselves. And they’re gonna ask where to watch it. If you say HBO Max or Hulu or something, people might not watch it because they don’t have it or can’t get it. All they have is Netflix for that matter. So if you really want clicks or money don’t remove the good shows",2023-01-06
"I’ve set a pin so that the full library is not easily accessible by my children by TV remote. Worked fine for years. Today on my phone the PIN keyboard stopped working in an odd way the keyboard for pin entry is on landscape mode and NOT usable while my phone is in portrait mode. Rebooting phone. Uninstalling and reinstalling didn’t fix it. I tried messaging Netflix customer support and was told to talk to apple. I suspect it’s the Netflix update from 2 days ago has a bug. Hope they fix it soon.
10/12/23 Updated to Version 16.3.1 BUG PERSISTS.",2023-01-05
"ok, this app is great and awesome because it’s fully free. But is it so great when finding what you wanna watch? yes, they ALWAYYYYS take out the good and the only shows/movies people want to watch, like what the? I understand people might think “how else are they gonna make money?” “they can’t give us the best app ever” I understand but they seriously have to take out the least popular ish ones. they’ve been making people upset over the good shows/ movies, but they actually have to make a downloaded feel welcomed and happy.",2023-01-05
"Hi. I like shows on Netflix but you keep trashing them and there’s a lot of good shows. Like Jinxed, it has the leaving soon on it. I love that show but you guys are cancel are cancelling all the good shows and leave the bad shows. I have a long history with some shows that I have been watching since I was 3. F.Y.I I'm 8 years old. So I've been watching a lot of good shows. I get that your getting rid of old shows like Sailor Moon
But that doesn’t affect me ‘cause I don’t that show but please, stop
removing shows! 🤬",2023-01-05
"The documentaries are skewed by who makes them. No real trusted impartial journalism anymore. Giving legitimacy to corrupt voices is wrong in any context without proper disclosure of the corruption (both ethical and moral are denied in some documentaries, yet their voices are heard as truth). New content is crap. The scripted “reality tv” market is overdone and gross. The price keeps going up while the content goes down. This is the streaming service I could do without and contemplating the relevance currently.",2023-01-05
Listen bruh my parents are divorced and they tryna use the same account AND YOU GUYS HAD A NEW UPDATE NOW WE CANT SHARE PASSWORDS but listen that’s not my point IM TRYINGG TO WATCH SOME MY LITTLE PONY AND I CANT AND MMY MOM DONT FEEL LIKE MAKING A ACCOUNT SO FIX THIS BEFORE I SUE YOU OK BRAH IM TRYNA HAVE A PEACEFUL DAY WATCINGG MY LITTLE PONY I’m sorry it had to go this way ok? Just fix it and I will give you 5 stars otherwise it’s all good FIX ITT NOW OK thank you Netflix I love you Netflix 😘😘,2023-01-05
you fr gonna take my netflix away bc i have divorced parents. i hope it was worth it bc if i could rate you guys a 0 i would. FIRST YOU GUYS SNITCH ON SOAP2DAY then u wanna say we have to be under the same wifi. you guys made a big mistake and i hope everyone stops using netflix because i sure will. i’ll be fine with my Hulu HBO and yt tv. you guys can be greedy all u want but you guys are just losing more money and i hope who ever is in charge fixes this because you guys are actually stupid.,2023-01-05
"The fact that netflix seriously has the nerve to kick me out of the app because “my tv is not a part of the account household.” For 1. If you don’t want the account to be shared, do not create the option to make multiple profiles. For 2. This app is nowhere near good enough for me to WANT to create an entire new account when my brother already pays for it. Most of the shows are crap, they never have anything good and when they do, they take it down. Overall, I’ll NEVER use this app again.",2023-01-02
"The new “household” system is completely bananas. Not only has Netflix massively reduced the number of decent titles available on their service, but they’ve also massively increased the price. On top of all of this, if I want to use my own account at a different house, I have to jump through hoops just to say I’m “traveling”. Really?

I’ve cancelled my account. Every single title on Netflix is available elsewhere for considerably cheaper and is far easier to access. Never going back!",2023-01-04
"Netflix was great while we had it but with the new member add on, I will be having to pay $14 extra a month just because my kids in college. It is beyond frustrating that we have to spend more money out of pocket and it makes netflix seems like a money hog. Very unfortunate that a multimillion dollar company is using our situation to make money off of. If you have kids that are in college or live away from home, Netflix is the last streaming platform I would recommend!",2023-01-07
"works really well. I wish I could have a filter available to make it easier to find English speaking content. It’s not what it was but still works and it’s very reliable streamer app. Just too much content not in my language which is English. It’s really time consuming trying to remember something is not English so you watch the trailers if there’s one available. Language filter is desperately needed, any regular user knows this. But will it happen, doubtful.",2023-01-05
Hey there is something wrong with this appl it’s no longer allowing you to forward rewind or pause when using this on Apple TV. What ends up happening is loss of volume and sound and you have to restart show all over again from beginning so you have to end up watching it multiple times to see parts where you missed a scene because you can no longer pause or go back. Very annoying so I have stopped watching Netflix until this gets fixed. Thank you,2023-01-03
